applicable_record_count,bootstrap_ci95_high,bootstrap_ci95_low,cohort,comparison,draws,loss_count,median_difference,metric,paired_mean_difference,standardized_mean_effect,statistical_status,tie_count,win_count
9998,-0.011602320464092819,-0.016103220644128825,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,138,0.0,accepted,-0.013802760552110422,-0.11829853477779347,SIGNIFICANT_V8_FULL_12P5K_WORSE,9860,0
9998,-0.1988492310087193,-0.20389936852145926,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,0,-0.18191204499453306,weighted_bac_delta,-0.2013946667436522,-1.5808029050182955,SIGNIFICANT_V8_FULL_12P5K_BETTER,138,9860
9998,-0.09208110862817323,-0.09414490608833657,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,0,-0.09090909361839294,bond_delta,-0.09311344821168514,-1.7539974223225308,SIGNIFICANT_V8_FULL_12P5K_BETTER,608,9390
9998,-0.004258323502456948,-0.004604185898451067,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,0,0.0,angle_delta,-0.004431967768986929,-0.4995878044451833,SIGNIFICANT_V8_FULL_12P5K_BETTER,7374,2624
5723,-0.007476556485278131,-0.008004883668978528,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,0,0.0,active_angle_delta,-0.007742584964936453,-0.7320658165147316,SIGNIFICANT_V8_FULL_12P5K_BETTER,3099,2624
3761,-0.05091327383261936,-0.05443680420154159,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,7,-0.0476190485060215,ring_delta,-0.05266541102294417,-0.9771640596478747,SIGNIFICANT_V8_FULL_12P5K_BETTER,1235,2519
20,2.030699761235155e-07,-4.130390946102125e-06,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,2,0.0,clash_delta,-1.8957983229483944e-06,-0.3806254148011019,NOT_SIGNIFICANT,10,8
3456,0.0,0.0,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,3456,0
9998,0.003523912949300907,0.003425598446174856,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,9860,0.0027943513123318553,mean_displacement,0.0034742630808205495,1.396015146243669,SIGNIFICANT_V8_FULL_12P5K_WORSE,138,0
9998,0.0206690381191554,0.019961168890467066,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,9860,0.013704914133995771,max_atom_displacement,0.020308603071317485,1.1297909167006521,SIGNIFICANT_V8_FULL_12P5K_WORSE,138,0
9998,0.00018788319301416465,0.00016179836191809665,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,6561,0.00013884902000427246,rmsd,0.00017485083456226266,0.26455779076157787,SIGNIFICANT_V8_FULL_12P5K_WORSE,139,3298
9998,8.283062894393484e-08,-3.691162910533949e-07,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,3898,-2.875925702028326e-07,target_loss,-1.4408664701627545e-07,-0.012631584398369524,NOT_SIGNIFICANT,138,5962
9989,-0.011312443688056863,-0.01581739913905296,xtb_converged,V8_FULL_12P5K-minus-RAW,10000,135,0.0,accepted,-0.013514866352988287,-0.11704122686316547,SIGNIFICANT_V8_FULL_12P5K_WORSE,9854,0
9989,-0.19896085549325954,-0.20395138897761445,xtb_converged,V8_FULL_12P5K-minus-RAW,10000,0,-0.18191641382873058,weighted_bac_delta,-0.20141780732864847,-1.5814565702333403,SIGNIFICANT_V8_FULL_12P5K_BETTER,135,9854
9989,-0.0920977197029736,-0.09417573664117036,xtb_converged,V8_FULL_12P5K-minus-RAW,10000,0,-0.09090909361839294,bond_delta,-0.09313072171547052,-1.7553982392483929,SIGNIFICANT_V8_FULL_12P5K_BETTER,605,9384
9989,-0.004261743704386219,-0.00461252396139382,xtb_converged,V8_FULL_12P5K-minus-RAW,10000,0,0.0,angle_delta,-0.0044351125415069605,-0.49977233758569894,SIGNIFICANT_V8_FULL_12P5K_BETTER,7366,2623
5717,-0.007479271627124448,-0.008027689277313116,xtb_converged,V8_FULL_12P5K-minus-RAW,10000,0,0.0,active_angle_delta,-0.007749228472470357,-0.7324816985058445,SIGNIFICANT_V8_FULL_12P5K_BETTER,3094,2623
3755,-0.05094707046014154,-0.05437511444879267,xtb_converged,V8_FULL_12P5K-minus-RAW,10000,7,-0.0476190485060215,ring_delta,-0.05267088241160868,-0.9768238690473298,SIGNIFICANT_V8_FULL_12P5K_BETTER,1234,2514
18,4.994790389092575e-07,-4.018193046956893e-06,xtb_converged,V8_FULL_12P5K-minus-RAW,10000,2,0.0,clash_delta,-1.6655931176501326e-06,-0.3310510358364287,NOT_SIGNIFICANT,9,7
3450,0.0,0.0,xtb_converged,V8_FULL_12P5K-minus-RAW,10000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,3450,0
9989,0.0035241585080614396,0.0034266813596977213,xtb_converged,V8_FULL_12P5K-minus-RAW,10000,9854,0.002794554689899087,mean_displacement,0.003474732014843083,1.3968057408873134,SIGNIFICANT_V8_FULL_12P5K_WORSE,135,0
9989,0.020669717365379807,0.01996327064105064,xtb_converged,V8_FULL_12P5K-minus-RAW,10000,9854,0.013704724609851837,max_atom_displacement,0.020313454876735523,1.129987104491813,SIGNIFICANT_V8_FULL_12P5K_WORSE,135,0
9989,0.0001882599289067047,0.00016242903110202277,xtb_converged,V8_FULL_12P5K-minus-RAW,10000,6558,0.00013935565948486328,rmsd,0.00017506091925672182,0.26478368274735015,SIGNIFICANT_V8_FULL_12P5K_WORSE,136,3295
9989,8.149124984646291e-08,-3.6788509047501e-07,xtb_converged,V8_FULL_12P5K-minus-RAW,10000,3897,-2.876773805837729e-07,target_loss,-1.4514369276737518e-07,-0.012721004252897824,NOT_SIGNIFICANT,135,5957
444,-0.006756756756756757,-0.03153153153153153,charged,V8_FULL_12P5K-minus-RAW,10000,8,0.0,accepted,-0.018018018018018018,-0.13530446453761932,SIGNIFICANT_V8_FULL_12P5K_WORSE,436,0
444,-0.214512051594604,-0.23704731521219738,charged,V8_FULL_12P5K-minus-RAW,10000,0,-0.21150172999296046,weighted_bac_delta,-0.2256200453418999,-1.851341364731344,SIGNIFICANT_V8_FULL_12P5K_BETTER,8,436
444,-0.10040628690254741,-0.11075505133878716,charged,V8_FULL_12P5K-minus-RAW,10000,0,-0.10526315867900848,bond_delta,-0.10555589203890581,-1.905718458240546,SIGNIFICANT_V8_FULL_12P5K_BETTER,23,421
444,-0.002939744765198001,-0.004262687857126448,charged,V8_FULL_12P5K-minus-RAW,10000,0,0.0,angle_delta,-0.003590687454954998,-0.5107496302876671,SIGNIFICANT_V8_FULL_12P5K_BETTER,334,110
260,-0.0051368270565021355,-0.007149641470750793,charged,V8_FULL_12P5K-minus-RAW,10000,0,0.0,active_angle_delta,-0.006131789346153919,-0.7387451266211774,SIGNIFICANT_V8_FULL_12P5K_BETTER,150,110
187,-0.039721023996066765,-0.05355441232714902,charged,V8_FULL_12P5K-minus-RAW,10000,2,-0.0476190485060215,ring_delta,-0.046425702149934946,-0.9601779729142069,SIGNIFICANT_V8_FULL_12P5K_BETTER,63,122
5,5.1438168156892065e-06,-9.998453606385739e-07,charged,V8_FULL_12P5K-minus-RAW,10000,1,0.0,clash_delta,1.3813238183502109e-06,0.3381845046133763,NOT_SIGNIFICANT,3,1
218,0.0,0.0,charged,V8_FULL_12P5K-minus-RAW,10000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,218,0
444,0.003827627303453974,0.0033690053644694433,charged,V8_FULL_12P5K-minus-RAW,10000,436,0.003071223385632038,mean_displacement,0.0035952809380801597,1.4412324600071338,SIGNIFICANT_V8_FULL_12P5K_WORSE,8,0
444,0.0233919798196865,0.020271923714398662,charged,V8_FULL_12P5K-minus-RAW,10000,436,0.016071350313723087,max_atom_displacement,0.021805694295294786,1.2815618327008924,SIGNIFICANT_V8_FULL_12P5K_WORSE,8,0
444,0.0002926111351363025,0.00020591347637745713,charged,V8_FULL_12P5K-minus-RAW,10000,327,0.0002617835998535156,rmsd,0.00024888754260164123,0.5357706051483124,SIGNIFICANT_V8_FULL_12P5K_WORSE,8,109
444,-3.0198149265196604e-07,-2.3181842781895567e-06,charged,V8_FULL_12P5K-minus-RAW,10000,120,-9.90320017990598e-07,target_loss,-1.3278418948645495e-06,-0.1234817333791739,SIGNIFICANT_V8_FULL_12P5K_BETTER,8,316
0,,,radical_open_shell,V8_FULL_12P5K-minus-RAW,10000,0,,accepted,,,NOT_APPLICABLE,0,0
0,,,radical_open_shell,V8_FULL_12P5K-minus-RAW,10000,0,,weighted_bac_delta,,,NOT_APPLICABLE,0,0
0,,,radical_open_shell,V8_FULL_12P5K-minus-RAW,10000,0,,bond_delta,,,NOT_APPLICABLE,0,0
0,,,radical_open_shell,V8_FULL_12P5K-minus-RAW,10000,0,,angle_delta,,,NOT_APPLICABLE,0,0
0,,,radical_open_shell,V8_FULL_12P5K-minus-RAW,10000,0,,active_angle_delta,,,NOT_APPLICABLE,0,0
0,,,radical_open_shell,V8_FULL_12P5K-minus-RAW,10000,0,,ring_delta,,,NOT_APPLICABLE,0,0
