variant,seed,partition,molecule_id,reference_objective,reference_bond_objective,reference_angle_objective,reference_gradient_rms,reference_projected_movement,reference_projected_objective,source_objective,source_bond_objective,source_angle_objective,source_gradient_rms,source_projected_movement,source_projected_objective,source_minus_reference_objective
B,173,dev_a,Cc1cccc(NC(=S)NC2CC3C=CC2C3)c1,-1.424302749474124,-3.2969001551875103,0.44829465623926207,1.374639334145281,0.0010000000000000002,-1.4678645832140407,-1.2776159216395926,-3.0276769064314712,0.47244506315228585,2.1642715918542867,0.0010000000000000033,-1.3492515611686402,0.14668682783453146
B,173,dev_a,CC(C)Sc1ccc(C(=O)Nc2ccc(F)cc2F)cn1,-2.8000261688263572,-3.2625112123084707,-2.3375411253442437,1.6411208488542761,0.000999999999999999,-2.851391627034964,-2.6170947657596644,-2.9386472815111375,-2.2955422500081917,2.503727982148378,0.0009999999999999736,-2.698234265741471,0.18293140306669287
B,173,dev_a,CN1CCN(C(=O)c2ccccc2NC(=O)CCN2C(=O)c3ccccc3C2=O)CC1,-2.6220143595024306,-3.3554273136284967,-1.8886014053763647,0.703238588597187,0.0009999999999999907,-2.654992058676442,-2.4361978420331543,-3.048706364425353,-1.8236893196409556,1.3948917422763774,0.0009999999999999781,-2.506970709651272,0.1858165174692763
B,173,dev_a,Cc1ccn2c(NCc3ccccc3)c(-c3cccs3)nc2c1,-2.4630147845382075,-3.168491805121362,-1.7575377639550531,1.3182461911763874,0.0010000000000000048,-2.509499397270542,-2.286127219603081,-2.94872210279883,-1.6235323364073317,1.9960692373586175,0.0009999999999999861,-2.359878822912945,0.17688756493512647
B,173,dev_a,C_C(CC(=O)NCc1ccco1)=N\NC(=O)CC#N,-2.637054295316373,-3.280364621987972,-1.9937439686447742,0.9868750184047569,0.000999999999999994,-2.665947061532407,-2.5996182440723103,-3.1074175552364154,-2.091818932908205,1.4130026071354107,0.0009999999999999979,-2.6416286925628576,0.037436051244062796
B,173,dev_a,Cc1ccccc1NC(=O)CN1C(=O)COc2ccc(S(=O)(=O)N3CCCC3)cc21,-2.69061009795032,-3.4419721282077003,-1.9392480676929393,0.6269158700028009,0.0009999999999999985,-2.718915312464854,-2.5659422620749974,-3.2315750883724963,-1.9003094357774983,1.2455417936354236,0.0009999999999999723,-2.626131201349066,0.12466783587532237
B,173,dev_a,CN1C2C=C3C(C#N)=C(N)C(C#N)(C#N)[C@@H](c4ccc(Cl)cc4)[C@@H]3C1CC2,-2.52645200962115,-3.270432120302902,-1.7824718989393982,1.1440586968678867,0.0010000000000000083,-2.5729719522309655,-1.9701473410465253,-2.8734931343618477,-1.066801547731203,2.1204819668553387,0.0010000000000000044,-2.0599725794741195,0.5563046685746247
B,173,dev_a,CCOc1cc(NC(=S)NCCCN2CCOCC2)c(OCC)cc1NC(=O)C1CCCCC1,-2.8114832766084152,-3.329989145992035,-2.292977407224795,0.4160656458237866,0.0009999999999999933,-2.8379043022082433,-2.5367110851125405,-2.9688916633593503,-2.1045305068657303,1.0158424866997224,0.001000000000000018,-2.6063459090212744,0.27477219149587473
B,173,dev_a,O=C(CN1CCN(C(=O)C2CCCO2)CC1)Nc1ccc(Br)cc1,-2.8230824309621108,-3.4218216494630895,-2.2243432124611315,0.6613150242401183,0.0010000000000000378,-2.84921630021559,-2.4405755609438584,-2.9498617063342687,-1.9312894155534486,1.8532644583408135,0.0009999999999999907,-2.519655698079317,0.38250687001825234
B,173,dev_a,COc1ccc(C2[NH2+]C(c3ccc(OC)c(OC)c3OC)C(C)C(=O)C2C)c(OC)c1OC,-2.5316834899581178,-3.24155926601782,-1.821807713898416,0.7201225611127152,0.0009999999999999987,-2.57559125535593,-2.0846951839832117,-2.5728682040731115,-1.5965221638933116,1.5417164136851054,0.0009999999999999814,-2.1824049983768563,0.446988305974906
B,173,dev_a,CCOC(=O)c1cnc2c(CC)cccc2c1NCCN1CCOCC1,-2.8508142322779224,-3.218724667802095,-2.48290379675375,0.8931879989331301,0.0010000000000000013,-2.8925775863412984,-2.4984358165739833,-2.7200080719226274,-2.2768635612253396,1.6964819682011374,0.0009999999999999963,-2.5831076007708917,0.35237841570393913
