split,molecule_id,sample_id,source_type,flexibility_group,rotatable_bond_count,input_to_target_aligned_RMSD,aligned_rms_displacement,mean_atom_displacement,max_atom_displacement,torsion_circular_change,max_rotatable_torsion_change,bond_validity_gain,angle_validity_gain,ring_validity_gain,clash_validity_gain,total_validity_gain,energy_drop,optimization_iterations,optimizer_status_code,convergence_status,acceptance_status,acceptance_reason,stop_reason,target_source,force_field_method,force_field_supported,small_gain_large_displacement
train,Brc1ccc(-c2csc([NH2+]NC3=NCCCCC3)n2)cc1,train::Brc1ccc(-c2csc([NH2+]NC3=NCCCCC3)n2)cc1__gen0001,upstream_etflow_formal,medium,4,0.16290278732776642,0.16290278732776642,0.1433487981557846,0.2890552282333374,0.08971836417913437,0.15558606386184692,0.014403988607227802,0.018592020496726036,0.01457587257027626,0.0,0.0475718816742301,14.738279961788507,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2csc([NH2+]NC3=NCCCCC3)n2)cc1,train::Brc1ccc(-c2csc([NH2+]NC3=NCCCCC3)n2)cc1__gen0002,upstream_etflow_formal,medium,4,0.16169582307338715,0.16169582307338715,0.14486373960971832,0.3217568099498749,0.14225095510482788,0.36422544717788696,0.015329765155911446,0.024234123528003693,0.01383457612246275,0.0,0.05339846480637789,16.241094299138602,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2n(-c3ccccn3)c3ccccc3[n+]2-c2ccccn2)cc1,train::Brc1ccc(-c2n(-c3ccccn3)c3ccccc3[n+]2-c2ccccn2)cc1__gen0002,upstream_etflow_formal,medium,3,0.1651756316423416,0.1651756316423416,0.149928018450737,0.28764304518699646,0.155778169631958,0.2165563851594925,0.016690010204911232,0.01601061224937439,0.014727039262652397,0.0,0.04742766171693802,21.792112910094318,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2n(-c3ccccn3)c3ccccc3[n+]2-c2ccccn2)cc1,train::Brc1ccc(-c2n(-c3ccccn3)c3ccccc3[n+]2-c2ccccn2)cc1__gen0000,upstream_etflow_formal,medium,3,0.14163453876972198,0.14163453876972198,0.12290527671575546,0.3089648187160492,0.10065837949514389,0.18491089344024658,0.015428801067173481,0.017841925844550133,0.012860774993896484,0.0,0.0461315019056201,17.95188332018008,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2nnc3sc(CNC4CCCC4)cn23)cc1,train::Brc1ccc(-c2nnc3sc(CNC4CCCC4)cn23)cc1__gen0002,upstream_etflow_formal,medium,4,0.12830065190792084,0.12830065190792084,0.11582911014556885,0.26697611808776855,0.08022867888212204,0.16756287217140198,0.012634064070880413,0.020494379103183746,0.012366915121674538,0.0,0.0454953582957387,7.390499877650555,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2nnc3sc(CNC4CCCC4)cn23)cc1,train::Brc1ccc(-c2nnc3sc(CNC4CCCC4)cn23)cc1__gen0000,upstream_etflow_formal,medium,4,0.15121018886566162,0.15121018886566162,0.13380225002765656,0.31462526321411133,0.09773638099431992,0.14493882656097412,0.012444805353879929,0.017333555966615677,0.01563628390431404,0.0,0.04541464522480965,8.802218783936922,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2noc(-c3ccccc3)n2)o1,train::Brc1ccc(-c2noc(-c3ccccc3)n2)o1__gen0002,upstream_etflow_formal,low,2,0.1254814714193344,0.1254814714193344,0.09946048259735107,0.41863781213760376,0.010159222409129143,0.015687163919210434,0.01993771269917488,0.021983647719025612,0.017181389033794403,0.0,0.059102749451994896,12.876677550398526,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2noc(-c3ccccc3)n2)o1,train::Brc1ccc(-c2noc(-c3ccccc3)n2)o1__gen0001,upstream_etflow_formal,low,2,0.1238662451505661,0.1238662451505661,0.09852851182222366,0.4152170717716217,0.017536040395498276,0.022975262254476547,0.0194447822868824,0.02508828043937683,0.015092983841896057,0.0,0.05962604656815529,12.761212485752623,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2noc(CCc3ccccc3)n2)cc1,train::Brc1ccc(-c2noc(CCc3ccccc3)n2)cc1__gen0000,upstream_etflow_formal,medium,4,0.1410745233297348,0.1410745233297348,0.12582466006278992,0.2731069326400757,0.047844722867012024,0.0959620475769043,0.01411362737417221,0.020070653408765793,0.014853197149932384,0.0,0.04903747793287039,7.449203404689271,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2noc(CCc3ccccc3)n2)cc1,train::Brc1ccc(-c2noc(CCc3ccccc3)n2)cc1__gen0001,upstream_etflow_formal,medium,4,0.13481855392456055,0.13481855392456055,0.12216451019048691,0.267350971698761,0.08695420622825623,0.1549457311630249,0.011814750730991364,0.018216103315353394,0.015349837020039558,0.0,0.045380691066384315,5.80367461621902,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2noc(CCc3ccccc3)n2)o1,train::Brc1ccc(-c2noc(CCc3ccccc3)n2)o1__gen0001,upstream_etflow_formal,medium,4,0.16153480112552643,0.16153480112552643,0.14377830922603607,0.33588823676109314,0.06076987087726593,0.08968663215637207,0.01809096336364746,0.02642435021698475,0.018779434263706207,0.0,0.06329474784433842,15.384763878512508,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2noc(CCc3ccccc3)n2)o1,train::Brc1ccc(-c2noc(CCc3ccccc3)n2)o1__gen0000,upstream_etflow_formal,medium,4,0.17734672129154205,0.17734672129154205,0.15796764194965363,0.3323991894721985,0.06330874562263489,0.07662844657897949,0.017294991761446,0.02348424308001995,0.016294263303279877,0.0,0.05707349814474583,14.28546205691579,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
