molecule_id,sample_id,source,severity,target_residual_rms,target_residual_max,correction_rms,correction_max_atom,raw_atom_mean,raw_atom_p95,raw_atom_max,raw_graph_rms,clipped_atom_mean,clipped_atom_p95,clipped_atom_max,clipped_graph_rms,atom_clipped_fraction,graph_clipped_fraction,accepted,status,bond_count,rank,condition,linear_residual_norm,relative_linear_residual,translation_norm
CC(=O)N(Cc1ccco1)c1nc(C(=O)Nc2ccc(Cl)cc2)c(C)s1,val::CC(=O)N(Cc1ccco1)c1nc(C(=O)Nc2ccc(Cl)cc2)c(C)s1__gen0000::cartesian_s2_u0.350,Cartesian_teacher_100k,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999974752427e-07,0.0,0.0,0.0,9.999999974752427e-07,0.0,0.0,False,SOLVED,44,44,10.056095707710714,0.0,0.0,0.0
CC(=O)N1c2ccc(S(=O)(=O)N3CCCC3C(=O)Nc3cccc(F)c3)cc2CC1C,val::CC(=O)N1c2ccc(S(=O)(=O)N3CCCC3C(=O)Nc3cccc(F)c3)cc2CC1C__gen0000,ETFlow_formal_upstream,normal,0.008502707005024073,0.026227048080647686,0.005969800986349583,0.018667738884687424,0.004105256404727697,0.01152309775352478,0.018667738884687424,0.005969800520688295,0.004105256404727697,0.01152309775352478,0.018667738884687424,0.005969800520688295,0.0,0.0,True,SOLVED,58,58,10.19614169734582,3.3160491691662904e-06,5.120940746675058e-05,4.460489939442543e-20
CC(=O)NC(CC(N)=O)C(=O)NCC#CBr,val::CC(=O)NC(CC(N)=O)C(=O)NCC#CBr__gen0000,ETFlow_formal_upstream,normal,0.018465529336633823,0.07723996105877795,0.012161043472588062,0.040165066719055176,0.006257754284888506,0.03116961196064949,0.040165066719055176,0.012161043472588062,0.006257754284888506,0.03116961196064949,0.040165066719055176,0.012161043472588062,0.0,0.0,True,SOLVED,27,27,8.376827644328552,4.741326426593586e-06,4.941470561725598e-05,6.386114395259818e-20
CC(=O)NC(Cc1ccc(F)cc1)C(=O)NC1CCN(C(=O)Nc2ccc(F)cc2)CC1,val::CC(=O)NC(Cc1ccc(F)cc1)C(=O)NC1CCN(C(=O)Nc2ccc(F)cc2)CC1__gen0000::cartesian_s1_u0.350,Cartesian_teacher_100k,normal,0.012637867218742473,0.03143363715913705,0.009131955914199352,0.01942123845219612,0.0072738658636808395,0.015414985828101635,0.01942123845219612,0.009131955914199352,0.0072738658636808395,0.015414985828101635,0.01942123845219612,0.009131955914199352,0.0,0.0,True,SOLVED,60,60,9.42673605970088,5.953289762362903e-06,6.081456547927689e-05,1.2777141272272487e-19
CC(=O)NC(Cc1ccc(F)cc1)C(=O)NC1CCN(C(=O)Nc2ccc(F)cc2)CC1,val::CC(=O)NC(Cc1ccc(F)cc1)C(=O)NC1CCN(C(=O)Nc2ccc(F)cc2)CC1__gen0000::cartesian_s2_u0.350,Cartesian_teacher_100k,medium,0.0038703025610311655,0.006616921411647603,0.0027324738912284374,0.003959137946367264,0.0025184559635818005,0.0037461731117218733,0.003959137946367264,0.002732474124059081,0.0025184559635818005,0.0037461731117218733,0.003959137946367264,0.002732474124059081,0.0,0.0,True,SOLVED,60,60,9.597393894766409,1.8336778424331962e-06,6.1164931630575e-05,7.477256361968996e-21
CC(=O)NC(N)=O,val::CC(=O)NC(N)=O__gen0000,ETFlow_formal_upstream,normal,0.0014399313577336916,0.004577450036852504,0.0009619576158002019,0.0024427082389593124,0.0005578152486123145,0.0023469135630875826,0.0024427082389593124,0.0009619581396691501,0.0005578152486123145,0.0023469135630875826,0.0024427082389593124,0.0009619581396691501,0.0,0.0,True,SOLVED,12,12,6.216141879621308,2.695794925789017e-07,5.404486532378748e-05,0.0
CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(C)c(C)c3)nc3ccccc23)cc1,val::CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(C)c(C)c3)nc3ccccc23)cc1__gen0001::cartesian_s1_u0.350,Cartesian_teacher_100k,normal,0.014404091987429778,0.036958109506533665,0.010363488458096981,0.019901160150766373,0.008385707624256611,0.01935216784477234,0.019901160150766373,0.010363487526774406,0.008385707624256611,0.01935216784477234,0.019901160150766373,0.010363487526774406,0.0,0.0,True,SOLVED,60,60,12.186845257851632,6.503855176082351e-06,5.829205294600583e-05,1.2548154601212275e-19
CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(C)c(C)c3)nc3ccccc23)cc1,val::CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(C)c(C)c3)nc3ccccc23)cc1__gen0001::cartesian_s2_u0.350,Cartesian_teacher_100k,mild,0.0039700890618778375,0.006697471931191412,0.002738836221396923,0.004143879748880863,0.002500148257240653,0.0035850009880959988,0.004143879748880863,0.0027388366870582104,0.002500148257240653,0.0035850009880959988,0.004143879748880863,0.0027388366870582104,0.0,0.0,True,SOLVED,60,60,12.269479946341642,1.6515095595861979e-06,5.370382478148805e-05,2.4059988134434627e-20
CC(=O)Nc1ccc(NC(=O)C2CCCN2C(=O)NCc2ccccc2)cc1,val::CC(=O)Nc1ccc(NC(=O)C2CCCN2C(=O)NCc2ccccc2)cc1__gen0000,ETFlow_formal_upstream,normal,0.0050275128237165095,0.012462473790816997,0.0034202933311462402,0.006703778635710478,0.0024435969535261393,0.005965029820799828,0.006703778635710478,0.0034202930983155966,0.0024435969535261393,0.005965029820799828,0.006703778635710478,0.0034202930983155966,0.0,0.0,True,SOLVED,54,54,10.228947880241018,1.7661250331530216e-06,4.780478610476247e-05,8.568834489134225e-20
CC(=O)Nc1ccc(NC(=O)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,val::CC(=O)Nc1ccc(NC(=O)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1__gen0000::cartesian_s1_u0.350,Cartesian_teacher_100k,normal,0.009855485258413031,0.02639034413776553,0.007390669547021389,0.01597818359732628,0.004930128343403339,0.0136598264798522,0.01597818359732628,0.007390669081360102,0.004930128343403339,0.0136598264798522,0.01597818359732628,0.007390669081360102,0.0,0.0,True,SOLVED,52,52,10.673089608174848,4.615587233842206e-06,6.494523296357703e-05,7.757919228897728e-20
CC(=O)Nc1ccc(NC(=O)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,val::CC(=O)Nc1ccc(NC(=O)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1__gen0000::cartesian_s2_u0.350,Cartesian_teacher_100k,medium,0.003960001902984622,0.006571246701122968,0.002717571333050728,0.00374644179828465,0.0024909863714128733,0.0037095854058861732,0.00374644179828465,0.002717571333050728,0.0024909863714128733,0.0037095854058861732,0.00374644179828465,0.002717571333050728,0.0,0.0,True,SOLVED,52,52,10.673294856836957,1.5330825428242168e-06,5.368691784548926e-05,3.878959614448864e-20
CC(=O)Nc1ccc(NC(=O)CSc2ccc3nnc(CCNS(=O)(=O)c4ccc(C)cc4)n3n2)cc1,val::CC(=O)Nc1ccc(NC(=O)CSc2ccc3nnc(CCNS(=O)(=O)c4ccc(C)cc4)n3n2)cc1__gen0001,ETFlow_formal_upstream,normal,0.006681246225541323,0.023620429515193164,0.004619859158992767,0.015226595103740692,0.002822736045345664,0.0091413464397192,0.015226595103740692,0.004619859624654055,0.002822736045345664,0.0091413464397192,0.015226595103740692,0.004619859624654055,0.0,0.0,True,SOLVED,65,65,9.73768310218214,2.6395513195596887e-06,4.900224244162696e-05,1.6314659902063853e-19
CC(=O)c1ccc(OC(=O)C(CCS(C)(=O)=O)N2C(=O)c3ccccc3C2=O)cc1,val::CC(=O)c1ccc(OC(=O)C(CCS(C)(=O)=O)N2C(=O)c3ccccc3C2=O)cc1__gen0000,ETFlow_formal_upstream,normal,0.008766225208898816,0.02233708144088742,0.00628517335280776,0.01291169784963131,0.004873675759881735,0.010948335751891136,0.01291169784963131,0.0062851738184690475,0.004873675759881735,0.010948335751891136,0.01291169784963131,0.0062851738184690475,0.0,0.0,True,SOLVED,51,51,10.282677052459945,3.4112387848526066e-06,5.448969902625905e-05,6.382280042230104e-20
CC(=O)c1ccc(OC(F)F)cc1,val::CC(=O)c1ccc(OC(F)F)cc1__gen0001,ETFlow_formal_upstream,normal,0.009019477227412143,0.033745674303015116,0.00618009502068162,0.017924737185239792,0.003372314153239131,0.016624804586172104,0.017924737185239792,0.006180094555020332,0.003372314153239131,0.016624804586172104,0.017924737185239792,0.006180094555020332,0.0,0.0,True,SOLVED,21,21,8.877231920330276,2.1526399963632634e-06,5.208112916082877e-05,8.260587980841938e-20
CC(=O)c1ccc(OCC(O)C[NH+]2CCN(c3ccccn3)CC2)cc1,val::CC(=O)c1ccc(OCC(O)C[NH+]2CCN(c3ccccn3)CC2)cc1__gen0001,ETFlow_formal_upstream,normal,0.010447271735317901,0.0364601063534562,0.007362570613622665,0.019403602927923203,0.005056506022810936,0.015046946704387665,0.019403602927923203,0.007362570147961378,0.005056506022810936,0.015046946704387665,0.019403602927923203,0.007362570147961378,0.0,0.0,True,SOLVED,54,54,9.108494110046756,3.927003984079821e-06,5.115187657799804e-05,8.340016711426958e-20
CC(=O)c1cccc(NC(=O)COC(=O)COc2ccccc2C)c1,val::CC(=O)c1cccc(NC(=O)COC(=O)COc2ccccc2C)c1__gen0000::cartesian_s1_u0.350,Cartesian_teacher_100k,normal,0.017084412154807476,0.04329939121925519,0.01258261688053608,0.02485954761505127,0.009144195355474949,0.023696735501289368,0.02485954761505127,0.01258261688053608,0.009144195355474949,0.023696735501289368,0.02485954761505127,0.01258261688053608,0.0,0.0,True,SOLVED,45,45,10.112894521454944,7.33393086998447e-06,6.399271187080244e-05,1.9314488004410772e-19
CC(=O)c1cccc(NC(=O)COC(=O)COc2ccccc2C)c1,val::CC(=O)c1cccc(NC(=O)COC(=O)COc2ccccc2C)c1__gen0000::cartesian_s2_u0.350,Cartesian_teacher_100k,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999974752427e-07,0.0,0.0,0.0,9.999999974752427e-07,0.0,0.0,False,SOLVED,45,45,10.166302539232293,0.0,0.0,0.0
