molecule_id,record_id,cartesian_target_cosine,bond_target_cosine,combined_target_cosine,cartesian_norm_ratio,bond_norm_ratio,combined_norm_ratio,constructive,cancellation,same_sign,opposite_sign,overcorrection,cartesian_already_fixed_bond_duplicates,cartesian_correct_bond_harms,bond_correct_cartesian_cancels,both_wrong,cartesian_alone_gain,bond_alone_gain,additive_combined_gain,interaction_gain,safety_gate_loss,acceptance_gain
CN(C)C(CNC(=O)c1cccc(C#N)c1)c1ccco1,val::CN(C)C(CNC(=O)c1cccc(C#N)c1)c1ccco1__gen0000::cartesian_s1_u0.350,0.4732114497841324,0.458448537990139,0.5191737041735245,0.4428168466468297,0.4622255426905775,0.8117757561117059,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.28205128205128205,0.38461538461538464,0.10256410256410256,0.10256410256410256,0.28205128205128205,0.0,-0.025641024112701416,0.0,0.025641024112701416,-0.12820513546466827,0.0
CN(C)C(CNC(=O)c1cccc(C#N)c1)c1ccco1,val::CN(C)C(CNC(=O)c1cccc(C#N)c1)c1ccco1__gen0000::cartesian_s2_u0.350,0.6393264204319868,0.5483796346322519,0.6421621691105613,0.49683157685213475,0.48157952706086243,0.9058863736681868,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.3076923076923077,0.41025641025641024,0.5897435897435898,0.15384615384615385,0.1282051282051282,0.10256410256410256,0.025641024112701416,0.07692307233810425,0.10256409645080566,0.0,-0.07692310214042664,0.0
CN(C)S(=O)(=O)c1ccc(C(=O)NCC2CC2(Cl)Cl)cc1,val::CN(C)S(=O)(=O)c1ccc(C(=O)NCC2CC2(Cl)Cl)cc1__gen0000,-0.08071606150684268,0.16077974415559734,0.050259094871611246,0.35946042791244115,0.38993276055879583,0.6701087546026611,0.6578947368421053,0.34210526315789475,0.6578947368421053,0.34210526315789475,0.18421052631578946,0.2894736842105263,0.13157894736842105,0.18421052631578946,0.3684210526315789,0.02631579339504242,0.02631579339504242,0.0,-0.05263158679008484,0.1315789520740509,0.02631579339504242
CN(C)_N=C_C=C1\CC_C(=C\c2ccc(Br)cc2)C1=O,val::CN(C)_N=C_C=C1\CC_C(=C\c2ccc(Br)cc2)C1=O__gen0000::cartesian_s1_u0.350,0.4324421786727603,0.3290243152357384,0.41920367269580233,0.3640815495888356,0.33443294040921195,0.638068807959288,0.5789473684210527,0.42105263157894735,0.5789473684210527,0.42105263157894735,0.15789473684210525,0.34210526315789475,0.18421052631578946,0.18421052631578946,0.23684210526315788,0.07894736528396606,0.07894736528396606,0.1315789520740509,-0.026315778493881226,-0.05263155698776245,0.0
CN(C)_N=C_C=C1\CC_C(=C\c2ccc(Br)cc2)C1=O,val::CN(C)_N=C_C=C1\CC_C(=C\c2ccc(Br)cc2)C1=O__gen0000::cartesian_s2_u0.350,0.5614143893508463,0.4520097624451193,0.5674970956595163,0.3436297252796547,0.2860556452674352,0.5677890144435523,0.6842105263157895,0.3157894736842105,0.6842105263157895,0.3157894736842105,0.23684210526315788,0.5263157894736842,0.18421052631578946,0.05263157894736842,0.15789473684210525,0.0,0.026315748691558838,0.07894736528396606,0.05263161659240723,0.0,0.0
CN(C)c1ncc(S(=O)(=O)c2ccccc2)c(N)n1,val::CN(C)c1ncc(S(=O)(=O)c2ccccc2)c(N)n1__gen0000::cartesian_s1_u0.350,0.39103149497130946,0.5078508704560096,0.4816056311637141,0.30067453619264817,0.35863234221148743,0.6223036882455343,0.7058823529411765,0.29411764705882354,0.7058823529411765,0.29411764705882354,0.17647058823529413,0.3235294117647059,0.058823529411764705,0.14705882352941177,0.38235294117647056,0.029411762952804565,0.029411762952804565,0.029411762952804565,-0.029411762952804565,-0.05882352590560913,0.0
CN(C)c1ncc(S(=O)(=O)c2ccccc2)c(N)n1,val::CN(C)c1ncc(S(=O)(=O)c2ccccc2)c(N)n1__gen0000::cartesian_s2_u0.350,0.6945367041948617,0.6329706557099724,0.703212845192012,1.0759566527319586,1.1206665791670594,2.0714076212514008,0.7058823529411765,0.29411764705882354,0.7058823529411765,0.29411764705882354,0.38235294117647056,0.47058823529411764,0.14705882352941177,0.08823529411764706,0.23529411764705882,0.029411733150482178,0.0,0.029411733150482178,0.0,-0.029411792755126953,0.0
CN(CC(=O)NCCc1ccc(Cl)cc1)S(=O)(=O)c1cccs1,val::CN(CC(=O)NCCc1ccc(Cl)cc1)S(=O)(=O)c1cccs1__gen0001,0.3146526956968508,0.1156825382082633,0.25105048731658247,0.3592625727717481,0.33295520657493183,0.6037034303810747,0.625,0.375,0.625,0.375,0.3,0.425,0.225,0.125,0.2,0.0,0.0,-0.02439025044441223,-0.02439025044441223,0.146341472864151,0.02439025044441223
CN(CC(=O)Nc1ccc(N2CCOCC2)cc1)Cc1cc(=O)n2ccsc2n1,val::CN(CC(=O)Nc1ccc(N2CCOCC2)cc1)Cc1cc(=O)n2ccsc2n1__gen0000,-0.02369455345997894,-0.070364875009433,-0.05376444540305082,1.707217977706831,1.6892488195227338,2.9632138580029097,0.5636363636363636,0.43636363636363634,0.5636363636363636,0.43636363636363634,0.45454545454545453,0.2909090909090909,0.14545454545454545,0.05454545454545454,0.2727272727272727,0.0,0.0,0.0363636314868927,0.0363636314868927,0.19999998807907104,0.0
CN(Cc1ccc(Cl)cc1)C(=O)c1ccc2ccccc2n1,val::CN(Cc1ccc(Cl)cc1)C(=O)c1ccc2ccccc2n1__gen0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.025641031563282013,-0.025641031563282013,0.07692307233810425,0.025641031563282013
CN(Cc1ccc2c(c1)OCCO2)C(=O)CN1C(=O)NC2(CCCCC2)C1=O,val::CN(Cc1ccc2c(c1)OCCO2)C(=O)CN1C(=O)NC2(CCCCC2)C1=O__gen0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1785714402794838,0.0
CN(Cc1ccccc1)Cc1c[nH]c2ccccc12,val::CN(Cc1ccccc1)Cc1c[nH]c2ccccc12__gen0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12820513546466827,0.0
CN(Cc1cnn(C)c1)C(=O)C1CCC(=O)N(Cc2ccc(Cl)cc2)C1,val::CN(Cc1cnn(C)c1)C(=O)C1CCC(=O)N(Cc2ccc(Cl)cc2)C1__gen0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19607843086123466,0.0
CN(Cc1nc(-c2ccccc2)no1)C(=O)c1ccco1,val::CN(Cc1nc(-c2ccccc2)no1)C(=O)c1ccco1__gen0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2222222238779068,0.0
CN(c1ccc(C(=O)Nc2ccc3c(c2)OCO3)cc1)S(C)(=O)=O,val::CN(c1ccc(C(=O)Nc2ccc3c(c2)OCO3)cc1)S(C)(=O)=O__gen0001,0.01977044647297916,0.042439760884018615,0.03547287064927479,0.22726374295451188,0.3028513363411567,0.488994649870827,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.35714285714285715,0.4523809523809524,0.11904761904761904,0.11904761904761904,0.2619047619047619,0.0,0.0,-0.023809529840946198,-0.023809529840946198,0.0714285671710968,0.023809529840946198
CN(c1ccc(C(=O)Nc2cccnc2)cc1)S(C)(=O)=O,val::CN(c1ccc(C(=O)Nc2cccnc2)cc1)S(C)(=O)=O__gen0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0810810849070549,0.0
CN1CC[NH+](CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,val::CN1CC[NH+](CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1__gen0001,0.06460570628666432,0.041532738927387514,0.05650593762839546,0.47808784438187035,0.5391426069720706,0.9428968747275102,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.30158730158730157,0.36507936507936506,0.12698412698412698,0.14285714285714285,0.30158730158730157,0.03125,0.03125,0.0625,0.0,0.109375,0.0
CN1CCc2c(sc3nc(NN)n(-c4ccc(Cl)cc4)c(=O)c23)C1,val::CN1CCc2c(sc3nc(NN)n(-c4ccc(Cl)cc4)c(=O)c23)C1__gen0000::cartesian_s1_u0.350,-0.014355895930469011,0.3593773399752343,0.17378425428294694,0.37378002542149913,0.2955671728515391,0.5803413987859998,0.6976744186046512,0.3023255813953488,0.6976744186046512,0.3023255813953488,0.2558139534883721,0.4418604651162791,0.06976744186046512,0.13953488372093023,0.2558139534883721,0.04651162028312683,0.04651162028312683,0.06976744532585144,-0.02325579524040222,-0.11627906560897827,0.0
CN1CCc2c(sc3nc(NN)n(-c4ccc(Cl)cc4)c(=O)c23)C1,val::CN1CCc2c(sc3nc(NN)n(-c4ccc(Cl)cc4)c(=O)c23)C1__gen0000::cartesian_s2_u0.350,0.30667120675242693,0.5384012905161003,0.4629462406409844,0.2792141150712872,0.21007869099004278,0.42928001245896924,0.7209302325581395,0.27906976744186046,0.7209302325581395,0.27906976744186046,0.27906976744186046,0.6046511627906976,0.11627906976744186,0.09302325581395349,0.11627906976744186,0.09302324056625366,0.11627906560897827,0.1860465109348297,-0.02325579524040222,-0.04651162028312683,0.0
CNC(=O)_C(C#N)=C\c1cc(C)n(-c2ccc(N3CCOCC3)cc2)c1C,val::CNC(=O)_C(C#N)=C\c1cc(C)n(-c2ccc(N3CCOCC3)cc2)c1C__gen0001,0.0797285877659489,0.08838942938335234,0.09136011196764521,0.7785447919822539,1.0334893986671427,1.6793085263900065,0.5471698113207547,0.4528301886792453,0.5471698113207547,0.4528301886792453,0.37735849056603776,0.3584905660377358,0.1509433962264151,0.1320754716981132,0.18867924528301888,0.0,0.0,0.0,0.0,0.03773584961891174,0.0
CNc1c(NS(=O)(=O)c2ccc(OC)c(Cl)c2)c(=O)oc2ccccc12,val::CNc1c(NS(=O)(=O)c2ccc(OC)c(Cl)c2)c(=O)oc2ccccc12__gen0001,0.021949497532311325,-0.021862219060806796,-0.0022631786000637255,0.4755705617070941,0.578457717096358,0.9755458353498236,0.7441860465116279,0.2558139534883721,0.7441860465116279,0.2558139534883721,0.20930232558139536,0.27906976744186046,0.11627906976744186,0.11627906976744186,0.46511627906976744,0.04651162028312683,0.06976743787527084,0.06976743787527084,-0.04651162028312683,0.13953488320112228,0.0
COC(=O)C(C)Sc1nnc(Cc2cc(=O)[nH]c(=O)[nH]2)n1-c1ccc(OC)cc1,val::COC(=O)C(C)Sc1nnc(Cc2cc(=O)[nH]c(=O)[nH]2)n1-c1ccc(OC)cc1__gen0000,0.10112733097705834,0.003936921890649271,0.05348495807583409,0.2701167613526636,0.3256943020581114,0.5347002444060198,0.56,0.44,0.56,0.44,0.18,0.24,0.18,0.12,0.32,0.03999999910593033,0.03999999910593033,0.03999999910593033,-0.03999999910593033,0.06000000983476639,0.0
