applicable_record_count,bootstrap_ci95_high,bootstrap_ci95_low,bootstrap_draws,cohort,effect_direction,loss_count,median_difference,method,metric,paired_mean_difference,row_type,significance_status,tie_count,win_count
17,0.003738781007225898,-0.0032336656004190445,10000,active_clash,V8_12P5K_worse,3,0.0,V8 Full 12.5K minus D1,angle_delta,7.33861918835079e-05,paired_comparison,NOT_SIGNIFICANT,11,3
17,0.003738781007225898,-0.0032336656004190445,10000,active_clash,V8_12P5K_worse,3,0.0,V8 Full 12.5K minus D1,active_angle_delta,7.33861918835079e-05,paired_comparison,NOT_SIGNIFICANT,11,3
20,8.127469766350257e-07,-3.353550814608752e-06,10000,active_clash,V8_12P5K_better,5,0.0,V8 Full 12.5K minus D1,clash_delta,-1.159274552264833e-06,paired_comparison,NOT_SIGNIFICANT,7,8
15,0.014547930161158244,-0.026374772020305196,10000,active_clash,V8_12P5K_better,3,0.0,V8 Full 12.5K minus D1,ring_delta,-0.005931371574600538,paired_comparison,NOT_SIGNIFICANT,8,4
18,0.0,0.0,10000,active_clash,tie,0,0.0,V8 Full 12.5K minus D1,chirality_preserved,0.0,paired_comparison,NOT_SIGNIFICANT,18,0
20,0.007037790793256135,0.0009834094885445665,10000,active_clash,V8_12P5K_worse,10,0.00036196038126945496,V8 Full 12.5K minus D1,mean_displacement,0.0038462522148620336,paired_comparison,SIGNIFICANT_V8_12P5K_worse,7,3
20,0.021722392268129623,0.003313168174645398,10000,active_clash,V8_12P5K_worse,9,0.0,V8 Full 12.5K minus D1,max_atom_displacement,0.012239045649766921,paired_comparison,SIGNIFICANT_V8_12P5K_worse,7,4
20,0.0,0.0,10000,active_clash,tie,0,0.0,V8 Full 12.5K minus D1,solver_failure_count,0.0,paired_comparison,NOT_SIGNIFICANT,20,0
20,0.0001557369530200958,-0.0014262884855270384,10000,active_clash,V8_12P5K_better,6,0.0,V8 Full 12.5K minus D1,rmsd,-0.0005672574043273926,paired_comparison,NOT_SIGNIFICANT,7,7
20,3.079010848686892e-05,1.4349029615345899e-06,10000,active_clash,V8_12P5K_worse,10,1.352784693153808e-07,V8 Full 12.5K minus D1,target_loss,1.3495942446439813e-05,paired_comparison,SIGNIFICANT_V8_12P5K_worse,7,3
3761,-0.0034565275192767883,-0.01302844988035097,10000,ring_risk,V8_12P5K_worse,57,0.0,V8 Full 12.5K minus D1,accepted,-0.00824248869981388,paired_comparison,SIGNIFICANT_V8_12P5K_worse,3678,26
3761,-0.2294388070947693,-0.2384267459312478,10000,ring_risk,V8_12P5K_better,77,-0.22816926400264492,V8 Full 12.5K minus D1,weighted_bac_delta,-0.2338988704891545,paired_comparison,SIGNIFICANT_V8_12P5K_better,4,3680
3761,-0.08732202413542173,-0.09098842079429031,10000,ring_risk,V8_12P5K_better,103,-0.09302325546741486,V8 Full 12.5K minus D1,bond_delta,-0.08916646618608012,paired_comparison,SIGNIFICANT_V8_12P5K_better,258,3400
2502,-0.006442103372620818,-0.007269335456462734,10000,ring_risk,V8_12P5K_better,23,0.0,V8 Full 12.5K minus D1,angle_delta,-0.006852504320637725,paired_comparison,SIGNIFICANT_V8_12P5K_better,1420,1059
2502,-0.006442103372620818,-0.007269335456462734,10000,ring_risk,V8_12P5K_better,23,0.0,V8 Full 12.5K minus D1,active_angle_delta,-0.006852504320637725,paired_comparison,SIGNIFICANT_V8_12P5K_better,1420,1059
15,1.3325719889204868e-06,-4.095331717811254e-06,10000,ring_risk,V8_12P5K_better,5,0.0,V8 Full 12.5K minus D1,clash_delta,-1.2735104367796643e-06,paired_comparison,NOT_SIGNIFICANT,3,7
3761,-0.04901812280545829,-0.05249471283773824,10000,ring_risk,V8_12P5K_better,37,-0.0476190485060215,V8 Full 12.5K minus D1,ring_delta,-0.050759805472380966,paired_comparison,SIGNIFICANT_V8_12P5K_better,1251,2473
1613,0.0,0.0,10000,ring_risk,tie,0,0.0,V8 Full 12.5K minus D1,chirality_preserved,0.0,paired_comparison,NOT_SIGNIFICANT,1613,0
