section,entity,metric,value,authoritative_source
CURRENT_FINAL,unrestricted_three_seed_mean_sd,xtb_delta_median,-3.5968073895647135,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,xtb_delta_lower_fraction,0.9988666666666667,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,finite_coordinate_rate,1.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,v3d_overall_seed_sd,0.0028213471959332046,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,posebusters_overall_seed_sd,0.00030550504633041625,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,bond_raw_mae_seed_sd,0.0001915142247360073,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,angle_cosine_raw_mae_seed_sd,0.00012733314465746364,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,kabsch_source_rmsd_seed_sd,0.0002566918389514058,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,reference_rmsd_seed_sd,0.0001447689695980072,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,xtb_delta_median_seed_sd,0.026036259670689368,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,xtb_delta_lower_fraction_seed_sd,0.00011547005383791244,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,unrestricted_three_seed_mean_sd,finite_coordinate_rate_seed_sd,0.0,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv
CURRENT_FINAL,MMFF94s,records,5000.0,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv
CURRENT_FINAL,MMFF94s,molecules,2500.0,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv
CURRENT_FINAL,MMFF94s,v3d_overall,0.609,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv
CURRENT_FINAL,MMFF94s,posebusters_overall,0.9546,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv
CURRENT_FINAL,MMFF94s,bond_raw_mae,0.0229690384641255,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv
CURRENT_FINAL,MMFF94s,angle_cosine_raw_mae,0.0457456607286448,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv
