sample_id,bond_solver_failure_fraction,cartesian_bond_subspace_cosine,bond_cancellation_fraction,atom_clipping_fraction,graph_clip_scale_min
val::CCN(CC)C(=O)CSc1nc2ccccc2n1CC(=O)N1CCN(c2ccccc2OC)CC1__gen0001::cartesian_s2_u0.350,0.0,0.7546701729297638,0.0,0.0,1.0
val::CCN(CCn1cccn1)C(=O)CCc1nnc(C2CCCCC2)o1__gen0001::cartesian_s1_u0.350,0.0,0.6843325197696686,0.0,0.0,1.0
val::CCN(CCn1cccn1)C(=O)CCc1nnc(C2CCCCC2)o1__gen0001::cartesian_s2_u0.350,0.0,0.6349086463451385,0.0,0.0,1.0
val::CCN(Cc1nc2ccccc2c(=O)[nH]1)Cc1cc(=O)oc2cc(C)c(C)cc12__gen0001::cartesian_s1_u0.350,0.0,0.7910071611404419,0.0,0.0,1.0
val::CCN(Cc1nc2ccccc2c(=O)[nH]1)Cc1cc(=O)oc2cc(C)c(C)cc12__gen0001::cartesian_s2_u0.350,0.0,0.7926215529441833,0.0,0.0,1.0
val::CCN1C(=O)_C(=C\c2cn(-c3ccccc3)nc2-c2cccnc2)SC1=S__gen0001::cartesian_s1_u0.350,0.0,0.3370632082223892,0.0,0.0,1.0
val::CCN1C(=O)_C(=C\c2cn(-c3ccccc3)nc2-c2cccnc2)SC1=S__gen0001::cartesian_s2_u0.350,0.0,0.36460400372743607,0.0,0.0,1.0
val::CCN1C(=O)_C(=C_C=C2_Sc3ccccc3N2CCO)SC1=S__gen0001::cartesian_s1_u0.350,0.0,0.3598799929022789,0.0,0.0,1.0
val::CCN1C(=O)_C(=C_C=C2_Sc3ccccc3N2CCO)SC1=S__gen0001::cartesian_s2_u0.350,0.0,0.1874268613755703,0.0,0.0,1.0
val::CCN1C2=NCCC[NH+]2c2ccccc21__gen0000::cartesian_s1_u0.350,0.0,0.7772006392478943,0.0,0.0,1.0
val::CCN1C2=NCCC[NH+]2c2ccccc21__gen0000::cartesian_s2_u0.350,0.0,0.7373260408639908,0.0,0.0,1.0
val::CCNC(=O)CC[C@H](N)C(=O)O__gen0000,0.0,0.7630616277456284,0.0,0.0,1.0
val::CCOC(=O)C1(Cc2ccc(OC)cc2)CCN(C(=O)CCc2cccnc2)CC1__gen0001,0.0,0.7498614937067032,0.0,0.0,1.0
val::CCOC(=O)C1=C(O)CSC1=Nc1cccc(Cl)c1__gen0001,0.0,0.3919305130839348,0.0,0.0,1.0
val::CCOC(=O)C1CCN(_C=C2_C(=O)NC(=O)N(Cc3ccco3)C2=O)CC1__gen0000,0.0,0.6285302340984344,0.0,0.0,1.0
val::CCOC(=O)CNS(=O)(=O)c1cc(-c2nn(C)c(=O)c3ccccc23)ccc1C__gen0000,0.0,0.770857572555542,0.0,0.0,1.0
val::CCOC(=O)CNc1nc(Cl)nc(Nc2ccc(C)cc2)n1__gen0000,0.0,0.6985330581665039,0.0,0.0,1.0
val::CCOC(=O)CSc1ccc2nnc(-c3ccncc3)n2n1__gen0001,0.0,0.4298803508281708,0.0,0.0,1.0
val::CCOC(=O)CSc1nc2sc3c(c2c(=O)n1-c1ccccc1)CCN(C(C)C)C3__gen0000,0.0,0.5941102504730225,0.0,0.0,1.0
val::CCOC(=O)Cn1c(CN2CCN(C(=O)c3ccco3)CC2)nc2c1c(=O)n(C)c(=O)n2C__gen0000,0.0,0.6735715568065643,0.0,0.0,1.0
val::CCOC(=O)N1CCN(C(=O)CCc2c(C)nc3c(c(C)nn3-c3ccc(C)c(C)c3)c2C)CC1__gen0001,0.0,0.8005967885255814,0.0,0.0,1.0
val::CCOC(=O)N1CCN(C(=O)c2ccc3nc(N4CCCCC4)sc3c2)CC1__gen0000::cartesian_s1_u0.350,0.0,0.5125725865364075,0.0,0.0,1.0
val::CCOC(=O)N1CCN(C(=O)c2ccc3nc(N4CCCCC4)sc3c2)CC1__gen0000::cartesian_s2_u0.350,0.0,0.4492502585053444,0.0,0.0,1.0
val::CCOC(=O)Nc1ccc2c(c1)N(C(=O)C[NH+]1CCN(C)CC1)c1ccccc1CC2__gen0000,0.0,0.7701330184936523,0.0,0.0,1.0
val::CCOC(=O)c1[nH]c2ccc(OC)cc2c1NC(=O)CN1CCN(c2ccccn2)CC1__gen0001,0.0,0.6755133718252182,0.0,0.0,1.0
val::CCOC(=O)c1c(C)[nH]c(C)c1S(=O)(=O)N(C)CC(=O)Nc1ccc(C(C)=O)cc1__gen0001::cartesian_s1_u0.350,0.0,0.7726344168186188,0.0,0.0,1.0
val::CCOC(=O)c1c(C)[nH]c(C)c1S(=O)(=O)N(C)CC(=O)Nc1ccc(C(C)=O)cc1__gen0001::cartesian_s2_u0.350,0.0,0.8080882728099823,0.0,0.0,1.0
val::CCOC(=O)c1c[nH]c2nc(C)ccc2c1=O__gen0000::cartesian_s1_u0.350,0.0,0.7377119064331055,0.0,0.0,1.0
