record_id,molecule_id,seed,tau,source_rmsd_raw,max_atom_displacement,finite,w_B,w_A,reference_rmsd_angstrom,source_rmsd_angstrom,proposal_v3d,raw_v3d,proposal_pb,sanitization,all_atoms_connected,raw_pb,proposal_xtb_hartree,raw_xtb_hartree,delta_e_kcal_mol,matched_success,num_atoms,seed_concentration,topology_validity,raw_displacement_rms,kabsch_source_rmsd
ditmc-test-small:s00000:r000422:repeat1,ditmc-mol:e1d833f7cb6854641844d0f4,307,254.63169860839844,254.6316986083984,854.5059390727723,True,0.48099106550216675,0.5190088748931885,230.96350904147366,254.6316986083984,False,False,False,True,False,False,,,,False,43,True,False,254.6316986083984,254.6316986083984
ditmc-test-small:s00001:r000604:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.1095421239733696,0.10954212397336958,0.38887437269528813,True,0.4712643027305603,0.5287356376647949,2.816422351108582,0.10954212397336958,False,False,False,True,False,False,,,,False,41,False,False,0.10954212397336958,0.10954212397336958
ditmc-test-small:s00001:r001340:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.09563086926937103,0.09563086926937105,0.3213168781071351,True,0.4712643027305603,0.5287356376647949,2.595423201219626,0.09563086926937105,False,False,False,True,False,False,,,,False,41,False,False,0.09563086926937105,0.09563086926937105
ditmc-test-small:s00000:r002606:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.08913452923297882,0.08913452923297883,0.19420681717431998,True,0.4712643027305603,0.5287356376647949,2.3936551405064654,0.08913452923297883,False,False,False,True,False,False,151.308434264177,100.770612835417,31712.96174186712,True,41,False,False,0.08913452923297883,0.08913452923297883
ditmc-test-small:s00001:r001339:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.0838824063539505,0.08388240635395049,0.1885610841675404,True,0.4712643027305603,0.5287356376647949,2.987714015390911,0.08388240635395049,False,False,False,True,False,False,,-46.902966335601,,False,41,False,False,0.08388240635395049,0.08388240635395049
ditmc-test-small:s00001:r000466:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.08299736678600311,0.08299736678600311,0.16219555264586588,True,0.4712643027305603,0.5287356376647949,2.620221891242408,0.08299736678600311,False,False,False,True,False,False,,,,False,41,False,False,0.08299736678600311,0.08299736678600311
ditmc-test-small:s00001:r000604:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.08031809329986572,0.08031809329986572,0.14620530433373122,True,0.4712643027305603,0.5287356376647949,3.1341324593004503,0.08031809329986572,False,False,False,True,False,False,,,,False,41,False,False,0.08031809329986572,0.08031809329986572
ditmc-test-small:s00000:r001185:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.07944998890161514,0.07944998890161516,0.2357496884762044,True,0.4712643027305603,0.5287356376647949,2.957183863058242,0.07944998890161516,False,False,False,True,False,False,,,,False,41,False,False,0.07944998890161516,0.07944998890161516
ditmc-test-small:s00000:r002545:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.07903294265270233,0.07903294265270233,0.16473847357453847,True,0.4712643027305603,0.5287356376647949,2.6249261784602504,0.07903294265270233,False,False,False,True,False,False,,,,False,41,False,False,0.07903294265270233,0.07903294265270233
ditmc-test-small:s00001:r000832:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.07752293348312378,0.0775229334831238,0.16478548191445022,True,0.4712643027305603,0.5287356376647949,2.849226834415079,0.0775229334831238,False,False,False,True,False,False,,,,False,41,False,False,0.0775229334831238,0.0775229334831238
