comparison,metric,effect_definition,higher_is_better,finite_records,finite_molecules,mean_paired_effect,ci95_low,ci95_high,median_molecule_effect,effect_p05,effect_p25,effect_p50,effect_p75,effect_p95,wins,ties,losses,cluster_unit,records_per_primary_molecule,bootstrap_resamples
source_to_unrestricted_seed307,validity3d,candidate_minus_baseline,True,5000,2500,0.281,0.2658,0.2964,0.0,0.0,0.0,0.0,0.5,1.0,1134,1282,84,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed331,bond_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0005273800532481841,-0.0005629509301116536,-0.0004941324926138734,-0.00044742371011196203,-0.0014931113183575468,-0.0007927182676418444,-0.00044742371011196203,-0.00014334396383463253,0.0003099965520922538,2087,0,413,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed331,angle_cosine_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0014694532650099197,-0.0015246051849844117,-0.001414072214269614,-0.0014348326748785684,-0.003774370516145414,-0.0023944333826847915,-0.0014348326748785684,-0.0006025268045742882,0.0008439740568445883,2158,0,342,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed331,angle_cosine_raw_mae,candidate_minus_baseline,False,5000,2500,-8.755938024870807e-05,-0.00010516683553257023,-6.912080089913357e-05,-8.896848659259264e-05,-0.0007631173028483965,-0.0003315519814286634,-8.896848659259264e-05,0.0001557463663665595,0.0006020770520837804,1505,0,995,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed331,kabsch_source_rmsd,candidate_minus_baseline,False,5000,2500,0.009961507586760428,0.009846919001844251,0.01008313799871872,0.00942008383571909,0.0073259916505770085,0.00839880795683555,0.00942008383571909,0.010773113113826331,0.013920785021034797,0,0,2500,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed331,kabsch_source_rmsd,candidate_minus_baseline,False,5000,2500,0.0018645343958172348,0.0017748408881434656,0.001966253686394848,0.0013725098688155358,0.00030437301611528633,0.0008633297402412151,0.0013725098688155358,0.002125388244166921,0.004526775183089298,29,0,2471,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed331,delta_e_kcal_mol,candidate_minus_baseline,False,5000,2500,-4.419898383091673,-6.6383445802092345,-2.1123341295196756,-3.6813266250839725,-10.00151004431494,-5.22754264500643,-3.6813266250839725,-2.6584116268112505,-1.7198044805405936,2497,0,3,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed331,delta_e_kcal_mol,candidate_minus_baseline,False,5000,2500,-0.3908368391470016,-2.0258870570351597,1.0603632870787647,-0.1157763113598046,-1.21278681645477,-0.2766621702213552,-0.1157763113598046,-0.028044995324381206,0.06507126110231289,2070,0,430,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed353,validity3d,candidate_minus_baseline,True,5000,2500,0.2832,0.268,0.2984,0.0,0.0,0.0,0.0,0.5,1.0,1143,1274,83,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed353,validity3d,candidate_minus_baseline,True,5000,2500,0.0202,0.0122,0.028,0.0,0.0,0.0,0.0,0.0,0.5,219,2160,121,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed353,PB,candidate_minus_baseline,True,5000,2500,0.0008,0.0002,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,4,2496,0,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
