molecule_id,sample_id,source_type,rotatable_bond_count,has_ring,gate_mean,gate_p50,gate_p90,gate_p95,aligned_rms_displacement,mean_atom_displacement,max_atom_displacement,upstream_bond_violation,refined_bond_violation,delta_bond_violation,upstream_angle_violation,refined_angle_violation,delta_angle_violation,upstream_torsion_circular_error,refined_torsion_circular_error,delta_torsion_circular_error,upstream_ring_invalidity,refined_ring_invalidity,delta_ring_invalidity,upstream_clash_score,refined_clash_score,delta_clash_score,upstream_chirality_error,refined_chirality_error,delta_chirality_error,upstream_aligned_RMSD,refined_aligned_RMSD,delta_aligned_RMSD,delta_internal_error_sum,repair_outcome,subsets
c1ccc2[nH]c(N3CCOCC3)nc2c1,val::c1ccc2[nH]c(N3CCOCC3)nc2c1__gen0000,upstream_etflow_formal,1,True,0.032374775037169456,0.03174334950745106,0.03399076797068119,0.03443488534539938,0.0054374318569898605,0.00432548439130187,0.017650306224822998,0.0106000388041138,0.0082025490701198,-0.002397489733994,0.0212554279714822,0.0223867427557706,0.0011313147842883994,0.1608011275529861,0.1567486524581909,-0.004052475094795199,0.0153819322586059,0.0106694102287292,-0.0047125220298767,0.0,0.0,0.0,0.0,0.0,0.0,0.7101837396621704,0.7111337184906006,0.0009499788284301758,-0.0100311720743775,improved,all;rotatable_le_2;ring
c1ccc2[nH]c(N3CCOCC3)nc2c1,val::c1ccc2[nH]c(N3CCOCC3)nc2c1__gen0001,upstream_etflow_formal,1,True,0.04151456896215677,0.04064379632472992,0.04378447607159615,0.04440015703439713,0.006789566949009895,0.0053253392688930035,0.02005913108587265,0.01094885263592,0.0107376612722873,-0.0002111913636326998,0.0199008323252201,0.0202570743858814,0.00035624206066129857,0.0392348766326904,0.0436732806265354,0.004438403993845,0.014322854578495,0.0118150413036346,-0.0025078132748603994,0.0,0.0,0.0,0.0,0.0,0.0,1.1819742918014526,1.182477593421936,0.0005033016204833984,0.002075641416013199,worsened,all;rotatable_le_2;ring
c1ccc2c3c([nH]c2c1)-c1[nH]ncc1CC3,val::c1ccc2c3c([nH]c2c1)-c1[nH]ncc1CC3__gen0000,upstream_etflow_formal,0,True,0.03221660340204835,0.031548578292131424,0.033861168846488,0.0343189375475049,0.005052895750850439,0.004339845851063728,0.00919049046933651,0.0145383141934871,0.0121564250439405,-0.002381889149546599,0.0180537831038236,0.0161853991448879,-0.0018683839589356994,0.0,0.0,0.0,0.0161140207201242,0.0126496236771345,-0.0034643970429896996,0.0,0.0,0.0,0.0,0.0,0.0,0.3581547737121582,0.3582297563552856,7.49826431273859e-05,-0.007714670151471998,improved,all;rotatable_le_2;ring
c1ccc2c3c([nH]c2c1)-c1[nH]ncc1CC3,val::c1ccc2c3c([nH]c2c1)-c1[nH]ncc1CC3__gen0001,upstream_etflow_formal,0,True,0.03200994897633791,0.03134232014417648,0.03366333581507206,0.034121818654239175,0.004537650384008884,0.0037991951685398817,0.008621430955827236,0.0122076785191893,0.0105666043236851,-0.0016410741955042007,0.0159003939479589,0.0158655606210231,-3.483332693580282e-05,0.0,0.0,0.0,0.0152041660621762,0.0120530128479003,-0.0031511532142758994,0.0,0.0,0.0,0.0,0.0,0.0,0.7205735445022583,0.7207406163215637,0.00016707181930541992,-0.004827060736715903,improved,all;rotatable_le_2;ring
c1ccc2c(c1)Cn1c-2nc2ccccc21,val::c1ccc2c(c1)Cn1c-2nc2ccccc21__gen0001,upstream_etflow_formal,0,True,0.03139958996325731,0.030720625072717667,0.03303231317549944,0.033492980618029834,0.004598447121679783,0.0036428612656891346,0.013247735798358917,0.0131896650418639,0.0125890355557203,-0.0006006294861435994,0.0207691434770822,0.0219560042023658,0.0011868607252835985,0.0,0.0,0.0,0.014331679791212,0.0131719233468174,-0.0011597564443946006,0.0,0.0,0.0,0.0,0.0,0.0,0.0173062812536954,0.0177024770528078,0.00039619579911239974,-0.0005735252052546016,improved,all;rotatable_le_2;ring
c1ccc2c(c1)Cn1c-2nc2ccccc21,val::c1ccc2c(c1)Cn1c-2nc2ccccc21__gen0000,upstream_etflow_formal,0,True,0.03151572123169899,0.03084483928978443,0.033136643655598166,0.03359291898086667,0.004499668255448341,0.0036806599237024784,0.012608839198946953,0.0117711359634995,0.013127664104104,0.0013565281406045012,0.0211736913770437,0.0223417449742555,0.0011680535972117996,0.0,0.0,0.0,0.0117777399718761,0.0130670070648193,0.0012892670929432002,0.0,0.0,0.0,0.0,0.0,0.0,0.0168951731175184,0.017015466466546,0.00012029334902759897,0.003813848830759501,worsened,all;rotatable_le_2;ring
c1ccc2c(c1)N(CCN1CCCCC1)C1=NCC[NH+]12,val::c1ccc2c(c1)N(CCN1CCCCC1)C1=NCC[NH+]12__gen0000,upstream_etflow_formal,3,True,0.031116564758121967,0.03063634317368269,0.032223787531256674,0.03255421500653028,0.006130697671324015,0.005353725980967283,0.013335192576050758,0.0124721089377999,0.0110926525667309,-0.0013794563710689996,0.022734684869647,0.0243772473186254,0.0016425624489784033,0.0570712089538574,0.0486188940703868,-0.008452314883470598,0.0157597549259662,0.0137341618537902,-0.0020255930721760004,0.0,0.0,0.0,0.0,0.0,0.0,1.521023511886597,1.522746205329895,0.0017226934432981178,-0.010214801877737194,improved,all;rotatable_3_5;ring
c1ccc2c(c1)N(CCN1CCCCC1)C1=NCC[NH+]12,val::c1ccc2c(c1)N(CCN1CCCCC1)C1=NCC[NH+]12__gen0001,upstream_etflow_formal,3,True,0.030946840066462755,0.0304628424346447,0.032059169560670855,0.032392514497041704,0.006181143224239349,0.0055517288856208324,0.013350962661206722,0.0125297205522656,0.0098880426958203,-0.0026416778564453004,0.0182030908763408,0.0183502417057752,0.0001471508294343983,0.066288411617279,0.0624909400939941,-0.0037974715232848982,0.016504043713212,0.0117082418873906,-0.0047958018258214,0.0,0.0,0.0,0.0,0.0,0.0,1.1633447408676147,1.1647417545318604,0.0013970136642456055,-0.0110878003761172,improved,all;rotatable_3_5;ring
c1ccc2c(c1)NC(CN1CCOCC1)CO2,val::c1ccc2c(c1)NC(CN1CCOCC1)CO2__gen0001,upstream_etflow_formal,2,True,0.03159495582804084,0.03108710329979658,0.032838670536875725,0.033205666579306126,0.006172535475343466,0.004962799604982138,0.019571425393223763,0.0118207447230815,0.0102762430906295,-0.0015445016324520007,0.023229457437992,0.0237675439566373,0.0005380865186453004,0.027489811182022,0.0236802399158477,-0.0038095712661743025,0.0165307037532329,0.0128066260367631,-0.003724077716469801,0.0,0.0,0.0,0.0,0.0,0.0,0.8019418716430664,0.8026439547538757,0.0007020831108093262,-0.008540064096450804,improved,all;rotatable_le_2;ring
c1ccc2c(c1)NC(CN1CCOCC1)CO2,val::c1ccc2c(c1)NC(CN1CCOCC1)CO2__gen0000,upstream_etflow_formal,2,True,0.03633635584264994,0.0357487928122282,0.03779930993914604,0.0382267814129591,0.006594344973564148,0.004947713576257229,0.0208858884871006,0.0137091483920812,0.0112077221274375,-0.0025014262646437004,0.0238616000860929,0.0233931466937065,-0.00046845339238640177,0.0721796751022338,0.0694265365600586,-0.0027531385421752097,0.01935326308012,0.015747919678688,-0.003605343401431999,0.0,0.0,0.0,0.0,0.0,0.0,0.751052737236023,0.7509987354278564,-5.4001808166503906e-05,-0.009328361600637311,improved,all;rotatable_le_2;ring
